POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
659690,660196,660196,USD,3985,5010,YANTIAN,HONOLULU,,135,150,3850,4860,GAOMING,659690,GAOMING
654210,656495,656495,USD,1710,2300,YANTIAN,SEATTLE,,450,500,1260,1800,HAIKOU,654210,HAIKOU
654210,656496,656496,USD,1710,2300,YANTIAN,TACOMA,,450,500,1260,1800,HAIKOU,654210,HAIKOU
654210,656495,656569,USD,3810,4450,YANTIAN,SEATTLE,CHICAGO,450,500,3360,3950,HAIKOU,654210,HAIKOU
654210,656495,660244,USD,4320,5050,YANTIAN,SEATTLE,CINCINNATI,450,500,3870,4550,HAIKOU,654210,HAIKOU
654210,656495,657532,USD,4320,5050,YANTIAN,SEATTLE,CLEVELAND,450,500,3870,4550,HAIKOU,654210,HAIKOU
654210,656495,660272,USD,4320,5050,YANTIAN,SEATTLE,COLUMBUS,450,500,3870,4550,HAIKOU,654210,HAIKOU
654210,656495,659550,USD,4405,5150,YANTIAN,SEATTLE,DETROIT,450,500,3955,4650,HAIKOU,654210,HAIKOU
654210,656495,657530,USD,6360,7450,YANTIAN,SEATTLE,INDIANAPOLIS,450,500,5910,6950,HAIKOU,654210,HAIKOU
654210,656495,657099,USD,4660,5450,YANTIAN,SEATTLE,LOUISVILLE,450,500,4210,4950,HAIKOU,654210,HAIKOU
654210,656495,657527,USD,3895,4550,YANTIAN,SEATTLE,MEMPHIS,450,500,3445,4050,HAIKOU,654210,HAIKOU
654210,656495,658126,USD,3810,4450,YANTIAN,SEATTLE,OMAHA,450,500,3360,3950,HAIKOU,654210,HAIKOU
654210,656495,656497,USD,2745,3200,YANTIAN,SEATTLE,PORTLAND,450,500,2295,2700,HAIKOU,654210,HAIKOU
654210,656495,656915,USD,4150,4850,YANTIAN,SEATTLE,ST PAUL,450,500,3700,4350,HAIKOU,654210,HAIKOU
654210,660196,660196,USD,4300,5360,YANTIAN,HONOLULU,,450,500,3850,4860,HAIKOU,654210,HAIKOU
